date,close
2020-11-19,2.4332
2020-11-20,2.4454
2020-11-23,2.4732
2020-11-24,2.4678
2020-11-25,2.4446
2020-11-26,2.4432
2020-11-27,2.4583
2020-11-30,2.4315
2020-12-01,2.4466
2020-12-02,2.4446
2020-12-03,2.4275
2020-12-04,2.4184
2020-12-07,2.3911
2020-12-08,2.3866
2020-12-09,2.3654
2020-12-10,2.3702
2020-12-11,2.3638
2020-12-14,2.3401
2020-12-15,2.3354
2020-12-16,2.3342
2020-12-17,2.3492
2020-12-18,2.3627
2020-12-21,2.3671
2020-12-22,2.3241
2020-12-23,2.3284
2020-12-24,2.3207
2020-12-25,2.328
2020-12-28,2.3192
2020-12-29,2.3034
2020-12-30,2.3078
2020-12-31,2.3144
2021-01-04,2.313
2021-01-05,2.3031
2021-01-06,2.3051
2021-01-07,2.2981
2021-01-08,2.3053
2021-01-11,2.2829
2021-01-12,2.2983
2021-01-13,2.3027
2021-01-14,2.2998
2021-01-15,2.31
2021-01-18,2.3206
2021-01-19,2.3265
2021-01-20,2.3216
2021-01-21,2.3271
2021-01-22,2.3081
2021-01-25,2.2853
2021-01-26,2.2798
2021-01-27,2.2781
2021-01-28,2.2595
2021-01-29,2.2449
2021-02-01,2.258
2021-02-02,2.2618
2021-02-03,2.2485
2021-02-04,2.2375
2021-02-05,2.2495
2021-02-08,2.2593
2021-02-09,2.2701
2021-02-10,2.2791
2021-02-18,2.326
2021-02-19,2.3585
2021-02-22,2.3843
2021-02-23,2.3685
2021-02-24,2.3469
2021-02-25,2.3768
2021-02-26,2.3389
2021-03-01,2.3666
2021-03-02,2.3533
2021-03-03,2.4001
2021-03-04,2.3958
2021-03-05,2.3755
2021-03-08,2.3651
2021-03-09,2.362
2021-03-10,2.3499
2021-03-11,2.3846
2021-03-12,2.4028
2021-03-15,2.4175
2021-03-16,2.4218
2021-03-17,2.4118
2021-03-18,2.4108
2021-03-19,2.3994
2021-03-22,2.418
2021-03-23,2.3988
2021-03-24,2.3686
2021-03-25,2.3709
2021-03-26,2.394
2021-03-29,2.4191
2021-03-30,2.4178
2021-03-31,2.4124
2021-04-01,2.4254
2021-04-02,2.4047
2021-04-06,2.4109
2021-04-07,2.4276
2021-04-08,2.4251
2021-04-09,2.4287
2021-04-12,2.4315
2021-04-13,2.411
2021-04-14,2.4181
2021-04-15,2.4199
2021-04-16,2.4447
2021-04-19,2.4482
2021-04-20,2.4433
2021-04-21,2.4358
2021-04-22,2.441
2021-04-23,2.4406
2021-04-26,2.4298
2021-04-27,2.4261
2021-04-28,2.4304
2021-04-29,2.4415
2021-04-30,2.4178
2021-05-06,2.4486
2021-05-07,2.4682
2021-05-10,2.4959
2021-05-11,2.4764
2021-05-12,2.4856
2021-05-13,2.4558
2021-05-14,2.4585
2021-05-17,2.455
2021-05-18,2.4669
2021-05-19,2.4469
2021-05-20,2.4173
2021-05-21,2.4225
2021-05-24,2.4201
2021-05-25,2.4408
2021-05-26,2.4528
2021-05-27,2.4604
2021-05-28,2.458
2021-05-31,2.4616
2021-06-01,2.4747
2021-06-02,2.4707
2021-06-03,2.4809
2021-06-04,2.4736
2021-06-07,2.4732
2021-06-08,2.4659
2021-06-09,2.4789
2021-06-10,2.4838
2021-06-11,2.4876
